Geneid	KRS7_10_aTC1-6_1_DMSO	KRS7_13_aTC1-6_2_DMSO	KRS7_16_aTC1-6_3_DMSO	KRS7_11_aTC1-6_1_Tg6h	KRS7_14_aTC1.6_2_Tg6h	KRS7_17_aTC1-6_3_Tg6h	KRS7_12_aTC1-6_1_Tg24h	KRS7_15_aTC1-6_2_Tg24h	KRS7_18_aTC1-6_3_Tg24h
Zfp78	1.92074547011528	1.93738590003177	2.34043902716386	2.56268731509442	2.86249638773835	2.58289879824096	1.78659506233346	1.94309742692424	1.66639620146592
Zfp28	4.79521733331167	5.29298562504842	4.74498507714156	4.3084714689487	4.28766059778672	4.06932357847098	4.57965656756758	3.67697677810639	3.75689620772995
Gm16532	0.122483393955911	0.159741402963614	0.076738179757416	0.153373589112855	0.132490607544059	0.185973006809405	0.040719392934519	0.0519524961237198	0.107022303840536
Olfr1344	0	0.0105595173444323	0.0130440523171576	0	0.0127821438508988	0.00962102083966135	0	0.0123633308924158	0
Olfr1336	0	0	0	0	0	0	0	0	0
Olfr1346	0	0	0	0	0	0	0	0	0
Olfr5	0	0.00644612137778026	0	0.00506385649159137	0.00910342673667272	0.00587321049700349	0	0	0
Olfr1347	0	0	0	0.0119737164280396	0	0	0	0	0
Olfr1348	0	0	0	0	0	0.0537406232753806	0	0	0
Olfr1349	0.0606578108095851	0.0326482429218279	0.181485023112408	0.0641184082526852	0.108680628167755	0.0669297832834582	0.0249669141654845	0.0716724928918078	0.0295291117216351
Olfr1350	0	0	0	0	0	0	0	0	0
Zim2	0	0	0	0.0453426990631538	0	0	0	0	0
Zim1	179.663981068865	174.666765089475	202.982379757913	65.3831637745302	76.8505067596184	95.8276328131919	124.891313814162	81.8282054446656	113.741155676248
Peg3	1027.47847824466	934.334053641105	1191.19210870376	584.52152346076	711.392724102008	784.242600783613	941.659679828201	704.150520006239	837.497809876027
Peg3os	0.273138073092154	0.54670406779476	0	0.0126315399165944	0.350352746439286	0.424862571774079	0.319706739383214	0.301220687847183	0.42660444422118
Usp29	40.8623615496247	44.0021299223286	39.5311514929388	32.8177718494281	37.7268735213352	38.6334921528613	52.482596594291	36.7045476553074	38.697138755258
Mir3099	0.0139637655388125	0	0	0.0206645800542018	0	0	0.0402326578699362	0	0.0317229071302177
Zim3	0.0140146585339425	0.00880039957270229	0	0	0.00443864878851763	0	0.0134597639009066	0	0
Aurkc	0	0	0.00962821238958451	0.0122458829480582	0.00786240814321146	0	0.029802469834388	0.00228143779211762	0.0375981516652964
Zfp954	13.1081292943402	16.6285885756799	15.2517722077608	14.6630612387902	14.8448921153882	13.3704858794302	9.09214775904458	14.1394643915828	14.7391362524488
Zfp773	2.72002393735613	1.89102059660377	2.10989605817232	1.3896821325503	1.71063655404716	1.55621531190076	1.49275865747317	1.03560465167882	0.588510016066271
Zfp418	2.12534199616081	2.37218039001201	2.12984786508937	1.3908112397143	1.23964334717559	1.52875869476216	1.91140473064032	1.43612135650624	1.71643858270127
Zfp772	5.03679353225343	5.76415611532513	5.55505490744513	4.346031202578	5.24710072793919	4.8153748079672	4.44344493707847	5.24706356850603	4.64040147668254
Vmn2r29	0.836485348844723	1.62403267197855	1.33081183707258	0.871576254245018	1.04457022549491	1.08413207969938	0.614820652660028	0.771878012608406	0.756253332937547
Clcn4-2	43.3156565068536	41.3528704779284	43.7874703299567	40.1367853933621	37.7634325984644	39.3304939486781	35.9922125512393	47.1364397523716	50.3505009998972
Mir5620	0	0.00747364343387215	0.00923210718552501	0.00587104331434182	0.012062317161677	0	0	0.0175006344951194	0
Vmn2r30	0.00822738044450491	0.00774948264057828	0.0191456964740735	0.0182631999970874	0.0203247140701284	0.0353036656646572	0	0	0
Vmn2r31	0	0	0	0	0	0	0	0	0
Vmn2r32	0	0	0.00580581987968864	0	0.00284462309220327	0	0	0	0
Vmn2r33	0	0	0	0	0	0	0	0	0
Vmn2r34	0	0	0	0	0	0	0	0	0
Vmn2r35	0	0	0	0	0	0	0	0	0
Vmn2r36	0	0	0	0	0	0	0	0	0
Vmn2r47	0	0	0	0	0	0	0	0	0
2810047C21Rik1	3.48849412682518	4.36123306865551	4.6862842308264	4.55240698594064	5.17675947463541	4.00083704541496	2.78689961986373	4.1094692230234	2.88187894465441
Vmn2r41	0	0	0	0	0	0	0.0798491398986211	0	0
Vmn2r42	0	0	0	0	0	0	0	0	0
Vmn2r43	0	0	0.0656750083638174	0	0	0	0.243942785194871	0	0
Vmn2r44	0	0	0	0	0	0	0.144352679621286	0	0
Vmn2r45	0	0	0	0	0	0	0	0	0
Vmn2r40	0	0	0	0	0	0	0	0	0
Vmn2r39	0	0	0.017932304387916	0	0	0	0	0	0
Vmn2r38	0	0	0	0	0	0	0	0	0
Vmn2r37	0	0	0	0	0	0	0	0	0
Vmn2r46	0	0	0	0	0	0	0	0	0
Vmn2r48	0	0	0	0	0	0	0	0	0
Vmn2r49	0	0	0	0	0	0	0	0	0
Vmn2r50	0	0	0	0	0	0	0	0	0
Vmn2r51	0	0	0	0	0	0	0	0	0
Vmn2r52	0	0	0	0	0	0	0	0	0
Vmn1r66	0	0	0	0	0	0	0	0	0
Vmn1r67	0	0	0	0	0	0	0	0	0
Zik1	13.7403452901915	13.8892116506296	12.3317274556218	14.2998893975076	18.3145821773968	17.4722280373658	13.2968934260139	15.722834565653	15.1159652475487
Vmn1r68	0	0	0	0	0	0	0	0	0
Vmn1r69	0	0	0	0	0	0	0	0	0
Vmn1r70	0	0	0	0	0	0	0	0	0
Nlrp4b	0	0	0	0	0	0	0	0	0
Vmn1r71	0	0	0	0	0	0	0	0	0
Zscan4a	0.0378223469041031	0.0593756467072176	0.0146692129337215	0.0233217571001057	0.043124019746147	0.0270492635082281	0	0.0173796003938468	0.0143208123786618
Zscan4b	0.0595781319858049	0.0374116405334051	0.0693212644769794	0.0293893285083321	0.0207561991605083	0.0511299183680387	0.0286096014485053	0.0766542478313502	0.0338374262788265
Zscan4c	0.191749980742678	0.154810234691659	0.254980442089264	0.0810758145314453	0.0728760519703367	0.0940341271025138	0.276236784066023	0.241673944568399	0.124462269648922
