Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_40_PCCL3_2_DMSO	KRS7_43_PCCL3_3_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_41_PCCL3_2_Tg6h	KRS7_44_PCCL3_3_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_42_PCCL3_2_Tg24h	KRS7_45_PCCL3_3_Tg24h
Mvb12b	155.664116852572	177.543639591974	129.052340647871	70.0254934362282	103.29454526232	94.0769855126736	113.049420309173	152.080925812873	105.383912518276
Pstk	6.94934401008408	5.78567795164277	7.34200295817671	3.55943751946382	5.00141081375403	3.09273721105967	4.4306972524517	3.869485677589	4.78031771617788
Sdr42e1	0	0	0	0	0	0	0	0	0
Hdgfl2	81.7085904867653	88.9399517418197	63.4895116881292	60.7811457694044	65.2187808116062	45.9529668116878	66.0940685161343	77.1917505475087	55.2511745198371
Zfp451	7.77627683783789	9.02943362503037	7.71814185551723	7.33597742864973	10.5643239658491	8.15216815919032	7.23341502734538	8.76573248367338	7.5836882357768
Ccdc92	11.87233149623	17.6394490016504	9.79454583649746	10.585016465881	15.189400249143	13.2977557504317	12.741650330498	18.792311043803	10.6774935953139
Setd2	92.2434215544228	95.4489272386902	98.1129577351679	109.913543658624	177.157315891745	131.782932422679	74.3449603962311	104.857033446564	77.3270182163115
Hdc	2.01619132613214	1.80881524959859	0.738974079923453	0.437465765053836	0.347472124751196	0	0.460511337236358	0.634978344134741	0.72286681015735
Il2ra	0	0	0	0.0923966599650529	0.102220675355245	0.0246605992918538	0.0243160224386034	0.155666959903343	0.172590146429014
Mep1a	0	0	0	0	0	0	0	0	0
Mak	0.0395823911790992	0.0473481736594798	0	0	0	0	0	0	0
Rln1	0	0	0	0	0	0	0	0	0.0232423980875899
Kcnj6	0	0	0	0	0	0	0	0	0
Mdm4	24.7824393165945	28.1733820471889	35.8284613072069	23.9488557511224	37.3052450097843	33.3403154859444	23.3146469713239	29.4897450376153	30.0975036576972
Dtnbp1	7.26697495968396	7.31290933678045	7.58327076210517	6.76139952992102	6.79304477964796	6.46207471011339	6.61497940628086	6.0615694995642	7.49444594344756
Smpdl3b	12.2531878163608	9.94911324483454	8.0623769137369	6.8715916832256	7.93496587897377	4.70547230454508	7.96425035003336	5.09857499526979	8.10329954201985
Gnl2	120.256963571284	123.651980305434	169.493944027937	247.192402346011	320.494412907863	279.211682686339	180.180886439557	227.78192343353	196.374853424711
Tada3	16.3628327482239	16.0517057180963	15.2646563047361	8.18573871547632	8.99689203562683	8.46979904340455	12.5513158948833	13.7524423045458	14.4337536217542
Procr	0.0786281510601615	0	0	0.0440946924987951	0	0	0.0309450589124342	0.0198104902111003	0
Ttk	12.3025627984364	20.1333356298067	6.57629646319478	8.68357804836739	11.6539764897173	4.57178394599893	0.584357856672015	0.66802815828129	5.63821493787038
Epm2aip1	156.487662052751	174.7533271019	130.629610960682	96.3148952873936	137.363113751896	91.5367261751301	103.561645229153	132.780464285516	114.962146589831
Trank1	2.72999949544898	3.69040016427789	1.03099794678172	0.207450487587926	0.642621075974965	0.155031463019046	1.02638092550433	0.81085391235509	0.794379532640906
Ncf2	0.258056920699925	0.0907899546130564	0.131186294700494	0.0425642365998327	0.104644114789935	0.0605886018447938	0.716904135805788	0.420703798662245	0.543296841100636
Mir19b1	0	0	0	0	0	0	0	0	0
Ptpn1	18.0472420017175	18.2936522677108	20.9584811283481	25.8415114467701	21.3609476315473	24.0572608062379	21.7380472753577	22.2893720528267	22.5904850118183
Pced1a	9.96625323488831	10.2626644951265	12.7975986916083	8.85376747934068	6.61111092081684	10.4842636741794	13.0667556085435	11.8444041033063	12.0240399734681
Amdhd2	0.205219474267022	0	0.387961391959814	0.0959059561848794	0.0707353968243506	0.358361189517103	0.0504791273509084	0	0.0895726264760195
Spaca6	7.50694613660749	7.84001717917	8.2654730692737	3.9940056212058	3.18462392629111	5.81976798807615	6.47706205489577	4.94670513362111	6.52794444469173
Wdr72	0	0	0	0	0	0	0	0	0
Rbm46	22.2037885533915	22.5850453266025	15.1748562654345	15.6001592141066	20.4086387667029	12.8112947743653	13.1524384469288	17.2680598463649	14.2073722900251
Ubp1	54.8566409057036	60.404633698453	54.7014695397456	38.4300807959647	41.8790535028561	56.6873195921845	53.3561076809732	51.4890955107846	56.6848365092427
Igfbpl1	0.181486609896005	0	0.098027173867397	0	0	0.0301826722625354	0	0	0.10561851647966
Ttc26	21.213930555836	19.4013609502563	16.7959473565692	18.0208594872605	17.1046519708928	14.2282970234327	16.3809468122122	17.8275568504584	17.2996432493393
Ift46	53.1328739677893	52.6156778732875	45.191680413739	34.9935850214073	46.3643777504147	31.0505128626488	48.4396009281928	49.9326235840813	48.3782508308128
Ccr4	0	0	0	0	0	0	0	0	0
Ctr9	86.6391919083742	88.1649911376982	98.2512180884748	86.0280409020625	105.518867398175	99.7165312744182	99.1951127768421	119.363296924824	94.3456373355722
Magoh	21.2423096629047	15.6306950431785	19.2012611950723	23.9882326326915	20.6258642821698	9.74575269917064	22.9443086603966	21.7162593694081	18.8212196366754
Elovl1	42.1115671607928	36.3567554067257	40.1929436238652	32.77195016246	22.6931291466722	32.9206321790739	48.780333701823	38.3116264083094	48.8614560196665
Cmtm6	8.19003746618158	6.80400074155919	5.87130090898086	8.04909349168074	2.01547432047464	5.03061500222312	8.45467758553113	3.30536672289317	6.07785036271073
Gle1	16.9548006373274	21.7720633247975	14.8609022771737	8.39610363004164	10.1155670169966	12.0610437239982	10.4580115403768	11.2867670524753	12.0088113591913
Ccr5	0	0	0	0	0	0	0	0	0
Gjb4	0	0	0.135783223166147	0	0.0866487782065071	0	0	0	0
Kcnj12	0.15915604268285	0.02379766520991	0.0214914161946418	0	0.192003612558267	0.0198516904813991	0.234891688791699	0.050124528923388	0.10420081827188
Ppp2r2a	115.845171679244	119.767487106021	137.152269637222	132.519577275222	161.397404047751	151.830159982651	116.116014886909	149.737855579667	120.764871858571
Mmp12	0	0	0	0	0	0.0679398986020152	0.0893207868055207	0.142954047822763	0.0198118952647938
Ccr3	0	0	0	0	0	0	0	0	0
Apbb3	7.90346060113515	6.70530468709271	8.40622194799711	5.01151645760857	2.47216173175349	3.87374164869758	7.89615426333425	3.39922804547172	7.02085735223456
Cap2	0	0	0	0	0	0	0	0	0
Tpt1	200.846350896558	183.256902125383	240.085340602722	267.139912147616	299.129209397433	247.057343254068	410.321275813956	415.530613002083	364.294620301156
Kcns1	0	0	0	0	0	0	0	0	0
Mir341	0	0	0	0	0	0	0	0	0
Mir339	0.0272276220323655	0.010856495678343	0	0.0508975307529892	0	0	0.0267893991044114	0.0228668118000556	0.0158454722801599
Mir338	0	0	0	0	0	0	0	0	0
