genes	logFC_TgvDMSO_6h_MIN6	logFC_TgvDMSO_24h_MIN6	logFC_Tg_24hv6h_MIN6	FDR_TgvDMSO_6h_MIN6	FDR_TgvDMSO_24h_MIN6	FDR_Tg_24hv6h_MIN6	MIN6_DMSO_24h_n_1	MIN6_DMSO_24h_n_2	MIN6_DMSO_24h_n_3	MIN6_Tg_6h_n_1	MIN6_Tg_6h_n_2	MIN6_Tg_6h_n_3	MIN6_Tg_24h_n_1	MIN6_Tg_24h_n_2	MIN6_Tg_24h_n_3	avg_expression
Chrna3	-0.772092230076251	-0.828385070392103	-0.0562928403158525	0.000967163338019972	0.000127834613919533	0.828148395098431	21.3654782453776	22.0165531942551	18.4263373639725	11.4957143835817	16.8457719152988	16.7741023875264	12.6207367891423	11.9779025904225	13.2735193202826	16.0884573544288
Chrna9	5.01920726877982	1.2174342263391	-3.80177304244072	0.00331951233033236	0.724479817163419	0.00839613920025821	0.0969317922635653	0	0.0683225477926821	0.433319554974334	3.5522707901647	4.34856803030269	0.309615165479424	0.0841237913172794	0.0330599953402504	0.991801296403881
Chrnb4	-0.884906145489544	-0.997141678189756	-0.112235532700213	5.88562574736524e-05	3.46302425614698e-06	0.578203228905208	40.8062083599942	46.5790101320159	39.2374177272312	24.0830117614578	30.3687686748348	29.2338286422681	24.569957810095	26.4882314390889	18.824784317419	31.1323576516005
Chrnd	3.92474971291362	0.874333397660801	-3.05041631525282	0.00290915681275755	0.706111258632517	0.00867948073373719	0.087309445712837	0.0426674872132305	0.138465493991982	0.372563144583482	4.36314480619341	2.01440002267127	0.302119891096823	0.198903824293352	0.0446672314782607	0.84047126080385
Chst11	-0.753417491966083	-1.11008434589033	-0.356666853924248	1.33398470959645e-05	3.65994753570866e-08	0.0126042201078489	106.077219339909	120.342955758824	106.040821778894	77.9742654337663	79.2283535137316	78.7305017014455	54.6483202541682	55.1387782097065	58.3602185399457	81.8379371700434
Chst12	-0.635896045458803	-0.462024607912815	0.173871437545988	0.00245437351675474	0.00765561497330306	0.401274906651514	25.7640470533199	26.4918271252091	26.6650739101917	18.4667886939062	18.470687062389	23.3395528009379	21.3355745041541	20.6143560755093	20.4293186098843	22.3974695372779
Chst14	-0.898120443292809	-0.352072272121695	0.546048171171114	0.0299672562584417	0.311811710881941	0.209701701662175	6.4190954544181	5.9708415473608	5.11466455766262	3.59168059930701	5.57884615013278	2.80223521761055	5.31574441831982	4.31947654022775	5.20361475290346	4.92402213754921
Chst3	3.89363392900923	1.44836133522213	-2.4452725937871	0.00528679579572616	0.486541792760038	0.0277943548066477	0.0847095898359168	0.0103492391678034	0.0671711697785057	0.413107600482432	3.35130021074533	0.427528555204333	0.22547963076472	0.261902742650663	0.0216685767887832	0.540357479490943
Chst5	2.82751534147857	1.14397489990766	-1.68354044157091	0.0133336796091544	0.441729731250899	0.0771227056701747	0.1337842411052	0.294207208342391	0.247532414108836	0.530101380877457	3.67710511250641	3.08666463422238	0.605380763694509	0.783720716318654	0.307996142634983	1.07405473486787
Cilp	-1.15838995944345	-2.16191045058071	-1.00352049113726	0.00162572895804803	2.00015157110517e-06	0.0242906281348741	13.3550287806133	19.7699026323408	24.4175046598839	6.51671520115714	15.4194041739222	12.0745872215356	3.66683195539017	6.16710643132521	4.38484756400034	11.7524365133521
Cilp2	2.65642672341059	1.38983763481037	-1.26658908860022	0.0353946543855753	0.358044724892793	0.216319762192748	0.160910309882249	0.283088487390615	0.238177633665141	0.56892168052516	6.8618461662793	0.464064525362095	0.890885606267609	0.754102230769068	0.345749026354289	1.17419396294395
Ckmt1	-0.677540698294953	-0.988890327348582	-0.311349629053629	0.000380373498236403	1.82035398296883e-06	0.0879362453710523	48.6302348658028	51.7501036700431	56.3677573210899	36.3482692502516	41.6569579983384	40.0936174011013	27.449881735277	26.8815219264679	31.255115166703	40.0481621483417
Clca2	4.42966586149963	2.35732632515866	-2.07233953634097	0.00512498152824511	0.259123973576405	0.0534863185981146	0.0660220623663764	0	0.0349018268882281	0.442713118395098	0.989802934228267	1.5867274683383	0.38662194683942	0.0644605791922382	0.11821836130213	0.409940921950006
Clcnka	5.72021483247547	1.86314168709169	-3.85707314538378	0.00576325865629398	0.664037617198504	0.0157931237947373	0	0.0257656007305964	0.111486813220971	0.0321399395894683	6.85040393298268	5.3219033185517	0.0561357027793878	0.583401062758591	0	1.44235959673482
Clcnkb	3.8165665425491	0.561839230853164	-3.25472731169594	0.0162970122989451	0.860158809842412	0.0291568860021467	0.110629276298531	0	0.321656131520548	0	7.0027852608805	3.40324562234776	0.588945086852124	0	0.0565975817662577	1.27598432885175
Cldn1	-1.36632653718245	-0.983182069934298	0.383144467248151	4.58341509176154e-06	1.63906458973447e-05	0.104986250358557	38.0800578501263	25.7624207737028	27.3193430759013	14.4855332480179	11.3094885300925	14.8196330990116	18.6245479301598	14.3752660547218	16.8152969634518	20.176843058354
Cldn19	4.76409515424983	1.55061807017413	-3.2134770840757	0.0163591087827489	0.677893664604534	0.0438550774570259	0	0.0447978397971772	0.0646128721571021	0	3.97019396965828	1.52748364954879	0.341604834371027	0	0	0.660965907281375
Clec14a	4.73219068593936	2.07958065673997	-2.65261002919939	0.0363309059889734	0.583895323718218	0.113092112963901	0	0.0557431591043086	0	0	2.66011810097802	0.548275690976382	0.197353046288187	0	0.0729446691633856	0.392714962945587
Clgn	-0.592239715075643	-0.164361208211489	0.427878506864155	0.000117900065914657	0.151610567848517	0.00281649326494378	68.5534853245775	64.1153448083648	62.9282007164651	49.6351139485703	58.6828292158717	48.6144598681782	63.0988216801155	67.2372511825005	60.260026686435	60.3472814923421
Clmp	3.23846121917353	1.09949247678309	-2.13896874239044	0.03079288263013	0.631682285861957	0.0954988761728782	0	0.107979770900673	0.210251036029136	0.0538774678676303	3.90148168071733	1.40192166139091	0.0941025266803667	0.373932980899733	0.293905503128979	0.715272514179418
Cmc1	-0.596883862186286	-0.402729447374187	0.194154414812099	0.0297748215979016	0.0892418220921424	0.519005852340768	23.0862632627373	20.7996786726255	18.3353635010614	16.4076700898289	20.41297727868	13.5685720039346	16.1927539264177	20.5105607584324	15.2253714465713	18.282134548921
Cmtm7	3.41505752589042	0.490423061453169	-2.92463446443725	0.0418640357699433	0.881471568270762	0.0673077690400283	0	0.333797096536222	0.24072130735047	0	5.87860531898662	4.4869638441079	0.787850023836483	0.0740984846123618	0	1.31133734171445
Cmya5	2.44917285237722	4.88234513505351	2.43317228267629	0.00263842268634951	3.6742557619368e-09	4.94815449557349e-06	0.289505461819374	0.0427107020888684	0.121280018897856	0.739221323246797	2.31116924445217	0.556621531697819	4.67596948261357	5.53939332261267	4.48242529326048	2.08425515340996
Cnga3	4.56638975937849	3.50925632382256	-1.05713343555594	0.00785485872313646	0.056950349541639	0.277701972011615	0	0.0825346422150498	0.0535686573181402	0.0617720916170234	2.70077752617191	2.53278473622991	0.539456486130208	0.681562966370541	0.570259037577038	0.802524015958869
Cnga4	2.20276042917997	0.328057497480013	-1.87470293169995	0.0381541772350032	0.842414669480574	0.069489586045264	0.156576112825743	0.255058668522638	0.248316646987637	0.445423275681461	1.56492633270526	2.20764975602901	0.527913277448497	0.237802354447495	0.133506392472826	0.641908090791174
Cngb1	2.30030575088873	-0.0414944511723498	-2.34180020206108	0.0362469208363127	0.982447333689097	0.0402780298442179	0.183913312303047	0.104068209352342	0.388894885035313	0.247827488114723	4.41801584405173	1.07942084174263	0.28857076047376	0.327624798401232	0.108945689101366	0.794142425397349
