Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_40_PCCL3_2_DMSO	KRS7_41_PCCL3_2_Tg6h	KRS7_42_PCCL3_2_Tg24h	KRS7_43_PCCL3_3_DMSO	KRS7_44_PCCL3_3_Tg6h	KRS7_45_PCCL3_3_Tg24h	KRS7_46_PTH-C1_1_DMSO	KRS7_47_PTH-C1_1_Tg6h	KRS7_48_PTH-C1_1_Tg24h	KRS7_49_PTH-C1_2_DMSO	KRS7_50_PTH-C1_2_Tg6h	KRS7_51_PTH-C1_2_Tg24h	KRS7_52_PTH-C1_3_DMSO	KRS7_53_PTH-C1_3_Tg6h	KRS7_54_PTH-C1_3_Tg24h
Zfp455	7.64804490885384	5.61259268781836	6.02583983830552	8.75543551667402	8.732217408641	7.11310847206258	7.77784700694349	4.08409072807526	6.72847904144613	10.3766016232154	8.59121016824632	8.55147564058734	10.3423807598202	12.995643851759	9.29961457029611	10.1465938684897	11.6855197206967	10.9980018143584
Taar9	0	0	0	0	0	0	0	0	0	0	0.0177286124827703	0	0	0	0	0	0	0
Taar7d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yrdc	12.4475550148864	19.5719676659966	20.0777916990443	14.0479598167357	4.95115610695955	10.2705364912162	15.8582022881254	26.6574349668462	21.689691744407	4.38841141863168	15.1501514738164	12.3869534316942	7.71143033774053	10.7177818669408	12.9885909982948	7.87977874004559	15.0537346587821	13.3093326731522
Hnrnpr	16.1914892352141	8.47631909270144	9.39573692310587	14.0242325874708	15.2952239039919	12.4071532202937	12.4523461542211	6.46265744861998	8.56310076499928	24.8970601557307	20.8110872776039	17.0143919189405	20.9842052969428	17.0416968790783	15.0772051959793	18.2735059387943	17.6300371078856	15.8465961818704
Cacna2d2	8.89284388490427	2.38793467333254	1.32937665030937	10.3143156862963	3.75952772071963	0.773676257898979	5.17485992432584	2.30422190786582	1.84423934438655	0.227196996866471	0	0.280468192584783	0.238998693661792	0	0.22100926695181	0.0664810982556794	0.100932892181838	0.180869532600775
Cux2	21.8882841623201	18.6608102951602	26.4555615269741	19.1141412244373	14.4622829680193	19.0286638923105	30.142006966419	26.0628759513244	36.6883843070585	0	0.0688697344677997	0.370684323433062	0.255130322395189	0.42249562980999	2.01324090304307	0.425810127359771	0.517178552128588	3.99027109078485
Fam199x	5.24591145026239	5.00625127058952	5.34747885843104	5.97361445983887	4.10503383519172	4.02865356867772	5.25856311612492	5.72192888369794	4.86818101024673	5.61738481731817	6.17477051809111	6.02522191581162	6.38599993398055	7.65645296901867	6.78876259892115	5.3717198470116	5.37224035163064	5.50939169720164
Fnip2	12.2498997430626	12.7008550306103	21.496922964091	12.0679919352582	9.59068974981519	16.3908935743971	21.7591390447255	21.5308869672291	35.0211636674526	7.94849202724891	7.36769503543558	15.4199422736922	13.4288027886882	18.3848955605831	21.1204689888367	16.1848658885943	15.5450027816521	22.2365120252322
Fnip1	137.769136500067	328.308717516121	210.406077697885	125.642688021235	361.376810238992	268.112726029477	290.596159928191	417.742156316829	353.310670445613	114.342547324846	86.7921155914931	130.146785381302	217.606162276196	251.2106268829	274.481291963211	246.042660355382	305.14322288238	376.296014213003
